[2026-08-02T07:28:58.811Z] GET https://docs-assets.developer.apple.com/published/88a8c8fdc81e5fc382997c9ec3822eab/augmented-reality.svg → pending (?ms, ?B)
[2026-08-02T07:28:58.812Z] GET https://docs-assets.developer.apple.com/published/fe96765a9ec7f01392fa7bc9938ae12b/apple-pay.svg → pending (?ms, ?B)
[2026-08-02T07:28:58.812Z] GET https://docs-assets.developer.apple.com/published/ed35a8d690d9aa594ec108f4b000ba3e/app-clips.svg → pending (?ms, ?B)
[2026-08-02T07:28:58.812Z] GET https://docs-assets.developer.apple.com/published/9e23a9dca1bba674ca611a9875a09439/always-on.svg → pending (?ms, ?B)
[2026-08-02T07:28:58.812Z] GET https://docs-assets.developer.apple.com/published/f848bdcfb46c64dd6fcec70cae4620a3/airplay.svg → pending (?ms, ?B)
[2026-08-02T07:28:58.826Z] GET https://docs-assets.developer.apple.com/published/496355b11d40fa2ff98a232f5692a3da/wallet.svg → pending (?ms, ?B)
[2026-08-02T07:28:58.826Z] GET https://docs-assets.developer.apple.com/published/c2e174aba030d1a7de30e3fcb0e06ed7/voiceover.svg → pending (?ms, ?B)
[2026-08-02T07:28:58.826Z] GET https://docs-assets.developer.apple.com/published/8165606b034808bdab7a2eccfc5ba01e/tap-to-pay-on-iphone.svg → pending (?ms, ?B)
[2026-08-02T07:28:58.826Z] GET https://docs-assets.developer.apple.com/published/74dbaaae6d1c20e1e5b236702dae7973/siri.svg → pending (?ms, ?B)
[2026-08-02T07:28:58.826Z] GET https://docs-assets.developer.apple.com/published/e7797e1e1209d2513f62a929deabc4e6/sign-in-with-apple.svg → pending (?ms, ?B)
[2026-08-02T07:28:58.826Z] GET https://docs-assets.developer.apple.com/published/abbb59bae34bcc697e70eb31e1cbf9de/shazamkit.svg → pending (?ms, ?B)
[2026-08-02T07:28:58.826Z] GET https://docs-assets.developer.apple.com/published/2157ce221f6ce83b22b10819d0637fac/shareplay.svg → pending (?ms, ?B)
[2026-08-02T07:28:58.826Z] GET https://docs-assets.developer.apple.com/published/09f442c9edd6adfc7b96ba62343974f5/researchkit.svg → pending (?ms, ?B)
[2026-08-02T07:28:58.826Z] GET https://docs-assets.developer.apple.com/published/cc7b6cfb42f8feb3e386350f0d535688/photo-editing.svg → pending (?ms, ?B)
[2026-08-02T07:28:58.826Z] GET https://docs-assets.developer.apple.com/published/576e343bdc0f0f102a11a0f6253005a3/nfc.svg → pending (?ms, ?B)
[2026-08-02T07:28:59.236Z] GET https://securemetrics.apple.com/b/ss/awdappledeveloper/1/JS-2.8.2/s82158305957763?AQB=1&pccr=true&vidn=353778DDD456DB55-400009D9407F6239&ndh=1&pf=1&t=2%2F7%2F2026%2011%3A58%3A58%200%20-270&fid=71AD216C64581E51-23B375E046E37BBA&ce=UTF-8&pageName=voiceover%20%7C%20apple%20developer%20documentation&g=https%3A%2F%2Fdeveloper.apple.com%2Fdesign%2Fhuman-interface-guidelines%2Fvoiceover&cc=USD&ch=www.documentation.developer&server=new%20approach%20legacy&h1=www.documentation.developer&c4=D%3Dg&c5=MacIntel&c6=D%3D%22%3A%20%22%2BpageName&c9=10.15.x&c25=direct%20entry&c48=1&v54=https%3A%2F%2Fdeveloper.apple.com%2Fdesign%2Fhuman-interface-guidelines%2Fvoiceover&s=1280x720&c=24&j=1.6&v=N&k=Y&bw=1280&bh=720&AQE=1 → 200 (178ms, 584B)
[2026-08-02T07:29:03.605Z] GET https://developer.apple.com/design/human-interface-guidelines/split-views → pending (?ms, ?B)
[2026-08-02T07:29:04.762Z] GET https://www.apple.com/wss/fonts?families=SF+Pro,v3|SF+Mono,v1|SF+Pro+SC,v1|SF+Pro+JP,v1 → 200 (?ms, -1130B)
[2026-08-02T07:29:04.762Z] GET https://developer.apple.com/tutorials/js/chunk-vendors.a27f3017.js → 200 (1ms, -1103B)
[2026-08-02T07:29:04.763Z] GET https://developer.apple.com/tutorials/js/chunk-common.639dbf99.js → 200 (?ms, -1102B)
[2026-08-02T07:29:04.763Z] GET https://developer.apple.com/tutorials/js/index.10807d2f.js → 200 (1ms, -1101B)
[2026-08-02T07:29:04.764Z] GET https://developer.apple.com/tutorials/css/chunk-vendors.e84e4a47.css → 200 (?ms, -1088B)
[2026-08-02T07:29:04.764Z] GET https://developer.apple.com/tutorials/css/index.6a972d82.css → 200 (?ms, -1087B)
[2026-08-02T07:29:04.764Z] GET https://developer.apple.com/tutorials/js/analytics.js → 200 (1ms, -1091B)
[2026-08-02T07:29:04.768Z] GET https://www.apple.com/wss/fonts/SF-Pro-Display/v3/sf-pro-display_regular.woff2 → 200 (1ms, -1182B)
[2026-08-02T07:29:04.769Z] GET https://www.apple.com/wss/fonts/SF-Pro-Display/v3/sf-pro-display_semibold.woff2 → 200 (?ms, -1181B)
[2026-08-02T07:29:04.769Z] GET https://www.apple.com/wss/fonts/SF-Pro-Display/v3/sf-pro-display_bold.woff2 → 200 (?ms, -1319B)
[2026-08-02T07:29:04.769Z] GET https://www.apple.com/wss/fonts/SF-Pro-Text/v3/sf-pro-text_regular.woff2 → 200 (?ms, -1182B)
[2026-08-02T07:29:04.769Z] GET https://www.apple.com/wss/fonts/SF-Pro-Text/v3/sf-pro-text_regular-italic.woff2 → 200 (1ms, -1181B)
[2026-08-02T07:29:04.770Z] GET https://www.apple.com/wss/fonts/SF-Pro-Text/v3/sf-pro-text_semibold.woff2 → 200 (?ms, -1181B)
[2026-08-02T07:29:04.770Z] GET https://www.apple.com/wss/fonts/SF-Mono/v1/sf-mono_regular.woff → 200 (?ms, -1180B)
[2026-08-02T07:29:04.777Z] GET https://developer.apple.com/tutorials/css/702.79eae049.css → 200 (?ms, -1087B)
[2026-08-02T07:29:04.777Z] GET https://developer.apple.com/tutorials/js/702.da183421.js → 200 (?ms, -1103B)
[2026-08-02T07:29:04.777Z] GET https://developer.apple.com/tutorials/js/408.989eb60f.js → 200 (?ms, -1099B)
[2026-08-02T07:29:04.778Z] GET https://developer.apple.com/tutorials/js/840.e00488b1.js → 200 (?ms, -1102B)
[2026-08-02T07:29:04.778Z] GET https://developer.apple.com/tutorials/css/27.57c88f46.css → 200 (?ms, -1089B)
[2026-08-02T07:29:04.778Z] GET https://developer.apple.com/tutorials/js/27.c5890a72.js → 200 (?ms, -1103B)
[2026-08-02T07:29:04.779Z] GET https://developer.apple.com/tutorials/js/905.49e82a9f.js → 200 (?ms, -1101B)
[2026-08-02T07:29:04.779Z] GET https://developer.apple.com/tutorials/css/design.8a82e299.css → 200 (?ms, -1087B)
[2026-08-02T07:29:04.779Z] GET https://developer.apple.com/tutorials/js/design.85a215f8.js → 200 (?ms, -1101B)
[2026-08-02T07:29:04.779Z] GET https://developer.apple.com/tutorials/css/global-head-footer.f93436f5.css → 200 (1ms, -1087B)
[2026-08-02T07:29:04.780Z] GET https://developer.apple.com/tutorials/js/global-head-footer.072e7a09.js → 200 (?ms, -1102B)
[2026-08-02T07:29:04.784Z] GET https://developer.apple.com/tutorials/data/design/human-interface-guidelines/split-views.json → pending (?ms, ?B)
[2026-08-02T07:29:04.789Z] GET https://developer.apple.com/tutorials/js/26.5ec0611a.js → 200 (?ms, -1101B)
[2026-08-02T07:29:04.794Z] GET https://developer.apple.com/tutorials/img/apple-developer-brandmark.91c4ebcc.svg → 200 (?ms, -1076B)
[2026-08-02T07:29:04.795Z] GET https://developer.apple.com/tutorials/img/apple-logo.8039b549.svg → 200 (?ms, -1051B)
[2026-08-02T07:29:04.795Z] GET https://developer.apple.com/tutorials/img/breadcrumb-arrow-light.4a42687a.svg → 200 (?ms, -1049B)
[2026-08-02T07:29:04.796Z] GET https://developer.apple.com/tutorials/js/194.f04a124b.js → 200 (?ms, -1101B)
[2026-08-02T07:29:04.796Z] GET https://developer.apple.com/services-session/v1/info → pending (?ms, ?B)
[2026-08-02T07:29:05.936Z] GET https://developer.apple.com/tutorials/data/index/design--human-interface-guidelines → 200 (3ms, -992B)
[2026-08-02T07:29:05.936Z] GET https://developer.apple.com/tutorials/js/870.68f731cb.js → 200 (?ms, -1101B)
[2026-08-02T07:29:05.936Z] GET https://developer.apple.com/tutorials/img/device-watchSeries10-46.9cf6fd97.png → 200 (214ms, ?B)
[2026-08-02T07:29:05.936Z] GET https://securemetrics.apple.com/b/ss/awdappledeveloper/1/JS-2.8.2/s83148876959528?AQB=1&ndh=1&pf=1&t=2%2F7%2F2026%2011%3A59%3A5%200%20-270&fid=71AD216C64581E51-23B375E046E37BBA&ce=UTF-8&pageName=split%20views%20%7C%20apple%20developer%20documentation&g=https%3A%2F%2Fdeveloper.apple.com%2Fdesign%2Fhuman-interface-guidelines%2Fsplit-views&cc=USD&ch=www.documentation.developer&server=new%20approach%20legacy&h1=www.documentation.developer&c4=D%3Dg&c5=MacIntel&c6=D%3D%22%3A%20%22%2BpageName&c9=10.15.x&c25=direct%20entry&c48=2&v54=https%3A%2F%2Fdeveloper.apple.com%2Fdesign%2Fhuman-interface-guidelines%2Fsplit-views&s=1280x720&c=24&j=1.6&v=N&k=Y&bw=1280&bh=720&AQE=1 → 200 (162ms, 584B)
[2026-08-02T07:29:05.937Z] GET https://docs-assets.developer.apple.com/published/9c4c45947bfbbf875b20f5d2b3f43564/components-split-view-intro%402x.png → pending (?ms, ?B)
[2026-08-02T07:29:05.938Z] GET https://docs-assets.developer.apple.com/published/8c23f101a012db47a8e2350e50432617/vertical-split-view%402x.png → pending (?ms, ?B)
